,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Nooitgedacht,344375.0,367000.0,421666.0,411750.0,320000.0,389064.0,485000.0,586428.0,480772.0,702500.0
Zeekoevlei,758622.0,791108.0,760240.0,857171.0,989533.0,958744.0,990484.0,1466464.0,1818304.0,1545714.0
Plumstead,1008290.0,1051239.0,1146005.0,1251419.0,1458299.0,1587783.0,1723512.0,1899466.0,1830013.0,1898014.0
Adriaanse,111250.0,125621.0,225000.0,252500.0,270000.0,234000.0,242500.0,500000.0,425000.0,350000.0
Oranjezicht,2851765.0,2596976.0,2741716.0,2764591.0,3342186.0,3308705.0,3848894.0,4754600.0,5242202.0,3837500.0
Three Anchor Bay,1528155.0,1541629.0,1559014.0,1667986.0,1945970.0,3186947.0,3139746.0,3144218.0,2381896.0,2225050.0
Langa,230283.0,315773.0,243142.0,370473.0,377384.0,400917.0,496382.0,504530.0,487684.0,289500.0
Bridgetown,366253.0,412271.0,405365.0,445833.0,434311.0,511500.0,550166.0,656472.0,654500.0,687812.0
Vredehoek,1685381.0,1719573.0,1656830.0,2225428.0,2588429.0,3204667.0,3362747.0,3535121.0,2844177.0,3014411.0
Belthorne Estate,656346.0,826617.0,884782.0,1033382.0,1131112.0,1253593.0,1616176.0,2023405.0,1993000.0,1730000.0
Morning Star,,,,,,,,,,
Gatesville,786411.0,745622.0,1211500.0,864210.0,920105.0,1165695.0,1432894.0,1313277.0,1638266.0,644285.0
Pinati,583411.0,679583.0,549666.0,1246700.0,625000.0,728400.0,903810.0,924806.0,967285.0,1070000.0
Charlesville,612000.0,567500.0,721428.0,712400.0,708750.0,681666.0,818750.0,791000.0,944285.0,995000.0
Claremont Upper,2321060.0,2406758.0,2246711.0,2569752.0,3039921.0,3397559.0,3511907.0,3719503.0,3466950.0,2508500.0
Bantry Bay,3369080.0,5311039.0,3707280.0,7553810.0,10467451.0,5835037.0,7257480.0,7977853.0,7051684.0,3887500.0
Montana,544600.0,583214.0,560800.0,573000.0,725608.0,751904.0,886764.0,868687.0,1187857.0,848333.0
Muizenberg,594750.0,626945.0,724111.0,859258.0,833021.0,993710.0,1164337.0,1299725.0,1292921.0,1288882.0
Matroosfontein,373837.0,352100.0,413428.0,524583.0,490880.0,603533.0,631363.0,648900.0,668000.0,895000.0
Pelican Heights,747777.0,594642.0,1078461.0,1207500.0,1039226.0,1027500.0,1261250.0,1557142.0,1341666.0,1100000.0
Diep River,921217.0,1032921.0,931011.0,953621.0,1357161.0,1227462.0,1472032.0,1640132.0,1649867.0,1464375.0
Cape Town,941228.0,993857.0,1085437.0,1234498.0,1341506.0,1575036.0,1681757.0,1660786.0,1602793.0,1515588.0
Heathfield,694590.0,701611.0,615880.0,795128.0,843436.0,1056244.0,957280.0,1344098.0,1180909.0,1651428.0
Ottery,670250.0,691038.0,703767.0,778403.0,883440.0,999952.0,1100865.0,1195958.0,1287139.0,1342000.0
Lakeside,1042559.0,1120994.0,1176270.0,1389409.0,1670166.0,1845380.0,2008081.0,2274077.0,2164449.0,2072916.0
Elfindale,926313.0,962545.0,1023430.0,1080853.0,1401903.0,1356366.0,1577000.0,1569900.0,1936473.0,2085000.0
Maitland,611588.0,523942.0,533764.0,682070.0,617756.0,645329.0,661819.0,594005.0,867415.0,455955.0
Welcome,569000.0,647800.0,545000.0,697285.0,697654.0,834128.0,810555.0,1106000.0,946666.0,
Airport Industria,5417956.0,7690172.0,6594110.0,11940055.0,13597966.0,5297740.0,9649723.0,7144295.0,10015000.0,12500000.0
Marina Da Gama,984865.0,1103537.0,1126998.0,1309373.0,1293655.0,1747270.0,1877898.0,2075625.0,2073700.0,2174000.0
