,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Townsend Estate,573873.0,625946.0,657878.0,725759.0,721000.0,750962.0,836749.0,880433.0,646894.0,826876.0
Vredendal Rural,1046839.0,1545427.0,915649.0,747068.0,2502073.0,1691456.0,2283838.0,1054955.0,1621947.0,1190000.0
Malmesbury Industria,651705.0,4125988.0,2375000.0,2325000.0,2697657.0,1239142.0,5400000.0,8076950.0,3359333.0,
Velddrif,472852.0,481243.0,468712.0,531900.0,561781.0,676909.0,708096.0,765816.0,679686.0,790995.0
Lampiesbaai,518009.0,535142.0,443683.0,704773.0,139672.0,147218.0,146455.0,165964.0,195106.0,238000.0
Beaufort West,164167.0,255665.0,285647.0,265174.0,319630.0,350993.0,320943.0,300578.0,377506.0,323310.0
De Kelders,629847.0,604646.0,694457.0,693447.0,839542.0,963508.0,862209.0,951635.0,841802.0,1123235.0
Bonnievale Rural,1277200.0,1453490.0,366250.0,675000.0,1062000.0,1914375.0,730714.0,500000.0,1226500.0,3000000.0
Sonkring,759977.0,439609.0,970123.0,1510303.0,1784217.0,1908594.0,2105857.0,2025000.0,2341538.0,2185000.0
Faerie Knowe,562500.0,578580.0,733933.0,1618476.0,851914.0,978000.0,1590009.0,1145683.0,1469772.0,987500.0
Rivergate,1293476.0,1847919.0,2096786.0,2267132.0,2069734.0,6405000.0,1725000.0,,,
Kleinmond Rural,,,,,,,,,,
Diemersfontein Wine And Country Estate,,,,,,,,,,
Waterfront,662500.0,1780833.0,611250.0,1719071.0,763333.0,1184250.0,1167000.0,402500.0,1507000.0,
Redelinghuys,174000.0,183750.0,124516.0,64000.0,73400.0,307500.0,211388.0,99700.0,72461.0,107333.0
Bekbaai,1595000.0,2386000.0,1958833.0,2412000.0,1987000.0,2298714.0,3941666.0,2700000.0,1855000.0,
Montague Gardens,5197868.0,3216876.0,3303300.0,5010229.0,5292969.0,2659964.0,3092517.0,3986082.0,4279792.0,3695000.0
West Bank,649209.0,669468.0,692114.0,700531.0,782486.0,831898.0,927699.0,910187.0,1110777.0,1015565.0
New Woodlands,287898.0,356148.0,352939.0,343333.0,385086.0,355310.0,423892.0,457251.0,537545.0,571857.0
Bokkemanskloof,3403750.0,2595833.0,3450000.0,2880000.0,3555000.0,5416666.0,4910000.0,3318000.0,3084500.0,
Sandbaai,584426.0,652313.0,644412.0,699538.0,801169.0,846703.0,1026033.0,1318202.0,1269586.0,1177809.0
Heritage Park,952674.0,958038.0,885323.0,1091904.0,1270871.0,1358931.0,1519406.0,1516603.0,1789629.0,1963636.0
Helena Heights,2673500.0,2264545.0,2192000.0,2216019.0,2910357.0,2572083.0,3179027.0,2715357.0,3033636.0,3625000.0
Bitterfontein,,,,,,,,,,
Matjiesfontein,,,,,,,,,,
Klapmuts,292843.0,233277.0,533761.0,507634.0,337122.0,344478.0,407434.0,320428.0,693350.0,474595.0
Durbanvale,1100961.0,1075138.0,1122972.0,1322647.0,1338392.0,1637022.0,1646347.0,1685172.0,1752718.0,1200000.0
Graanendal,1165569.0,1490042.0,1566600.0,1657209.0,2038864.0,1498269.0,2217727.0,2593192.0,2545977.0,1225000.0
Pinehurst,1174754.0,1463196.0,1455191.0,1627027.0,1696579.0,1986225.0,2031955.0,2476036.0,2615589.0,2681500.0
Brooklyn,479007.0,432758.0,513907.0,467992.0,490122.0,604003.0,708235.0,804325.0,959490.0,1011957.0
Caledon,391492.0,513139.0,458530.0,497003.0,681136.0,527298.0,617105.0,627095.0,655678.0,524818.0
Elands Bay,1169285.0,892272.0,1260000.0,342942.0,507013.0,1071333.0,541333.0,1046428.0,1284545.0,
Vredelust,294953.0,276774.0,303230.0,508551.0,734416.0,861041.0,1129153.0,1138200.0,1429166.0,1250000.0
Bredasdorp,463118.0,533147.0,530990.0,616579.0,526559.0,677685.0,658551.0,762640.0,767935.0,1063187.0
Aurora,303769.0,143050.0,233958.0,655500.0,445500.0,475200.0,462705.0,237923.0,325000.0,
Outeniqua Strand,2048783.0,1591000.0,884615.0,1882466.0,2159919.0,2206406.0,2032750.0,1262714.0,1871363.0,1830625.0
Klein Berlyn,1258333.0,1205740.0,873473.0,1133076.0,1114895.0,1281250.0,1155913.0,1712812.0,1120456.0,
Vredekloof Heights,1108333.0,1304611.0,1424900.0,1348076.0,1721875.0,2010900.0,1815625.0,2054719.0,2146666.0,
Scott Estate,,,,,,,,,,
Swellendam Rural,,,,,,,,,,
Worcester Central,667562.0,725643.0,629266.0,613555.0,775033.0,670942.0,1071700.0,837038.0,861435.0,1574166.0
Delft South,72572.0,67584.0,82995.0,77739.0,85435.0,92349.0,116116.0,130571.0,153263.0,148374.0
Hillcrest,234583.0,227222.0,233472.0,282941.0,352694.0,354083.0,404078.0,617222.0,371672.0,260000.0
Bridgeton,103610.0,142049.0,157180.0,134474.0,176911.0,206868.0,223991.0,179409.0,248476.0,296770.0
Kuyasa,56503.0,69943.0,72252.0,103695.0,86635.0,114333.0,148953.0,170585.0,180097.0,201250.0
Fisherhaven,638894.0,495615.0,485985.0,653154.0,496967.0,398283.0,402060.0,750936.0,780680.0,292500.0
Ladismith Rural,,,,,,,,,,
Zevenwacht Farm Village,,,,,,,,,,
Meadowsteads,1945000.0,2525000.0,2915000.0,3266666.0,6550000.0,5060000.0,7275000.0,7700000.0,1150000.0,
Harbour Heights,1300000.0,944750.0,1358750.0,1680000.0,1973461.0,1249545.0,918700.0,3102500.0,2085774.0,3250000.0
Rondevlei,,,,,,,,,,
Salberau,299958.0,315166.0,353705.0,372777.0,391846.0,397416.0,386541.0,605322.0,598500.0,
Riverton,456875.0,571000.0,539333.0,569942.0,685000.0,743500.0,702577.0,940000.0,798333.0,830000.0
Durbanville,1144371.0,1317326.0,1342933.0,1458225.0,1611643.0,1735310.0,2057787.0,2306645.0,2297522.0,2295496.0
Vredekloof,1129841.0,1079856.0,1128598.0,1325666.0,1511574.0,1604432.0,1757548.0,1979125.0,1786357.0,1916666.0
Franschhoek,2727000.0,2075256.0,2565363.0,2643035.0,2886392.0,4170304.0,3566438.0,4210782.0,4404516.0,2394500.0
Voorstrand,1765000.0,1652552.0,2632000.0,1678750.0,2455000.0,2139000.0,1688000.0,2595000.0,1650000.0,
Heidelberg,390389.0,254221.0,320794.0,462101.0,356516.0,358535.0,446328.0,416850.0,362226.0,356111.0
Sedgefield Rural,,,,,,,,,,
Elsies River Industrial,1250331.0,915625.0,4510166.0,1539200.0,2534513.0,1765081.0,1533166.0,1560714.0,3917500.0,0.0
Cloetesville,407154.0,454194.0,641648.0,650356.0,648913.0,721655.0,694323.0,722321.0,794825.0,786376.0
Kliprug,2650000.0,2800000.0,2198000.0,2024200.0,1469888.0,1613888.0,1984000.0,128000.0,2362142.0,525000.0
Peerless Park,542748.0,560272.0,652367.0,712445.0,770139.0,869257.0,924321.0,973523.0,1079028.0,1158428.0
Groenvlei,1529375.0,1518736.0,2006818.0,880282.0,2191136.0,2193333.0,2258712.0,1945631.0,2459666.0,2447500.0
Stonehaven Estate,1874222.0,2991666.0,2137454.0,3096538.0,4208000.0,4570000.0,4440666.0,2543421.0,4190000.0,3928500.0
Stilbaai Wes,807476.0,832399.0,840591.0,885639.0,830545.0,868878.0,955091.0,983557.0,1263462.0,1218160.0
Burgundy Estate,577071.0,605083.0,588977.0,677081.0,788350.0,976559.0,1041486.0,1297042.0,1331894.0,1202777.0
Rouxpark,577339.0,533602.0,611761.0,726632.0,759263.0,940895.0,1073606.0,1039531.0,1296967.0,970000.0
Riebeek Kasteel,1041841.0,951759.0,1151532.0,1245926.0,1386655.0,1095563.0,1705104.0,1671062.0,1661875.0,1659240.0
Gouritsmond,1068571.0,734110.0,923285.0,772230.0,687394.0,742412.0,1166159.0,999078.0,1141150.0,941250.0
Richwood,673227.0,714878.0,744765.0,793787.0,890215.0,1060882.0,1166149.0,1108684.0,1316210.0,1461285.0
